,smiles,6vww_pocket108,name,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
20,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,7.053950309753418,DB-9866,6.234912395477295,8.744794845581055,6.257974624633789,4.267901420593262,6.3290348052978525,8.647418022155763,6.926506519317628,7.454550266265869,6.7696852684021,6.20543909072876,7.4489593505859375,7.577765941619872,7.8269591331481925,6.34309196472168,5.7480716705322275,6.904548645019531,6.994349479675293,8.352298736572267,5.04718017578125,6.288301467895508,4.0697412490844735,7.579934120178223
21,CN1CCn2c1nc1c(Br)c(Br)c(Br)c(Br)c12,3.828097105026245,DB-4305,6.8267455101013175,8.178339004516603,5.698179244995117,3.8735406398773193,6.666819095611572,8.060652732849121,3.7666406631469727,6.029830932617188,4.397693634033203,4.674114227294922,6.743885517120361,8.36754322052002,7.720355987548827,6.872490406036378,3.919198036193848,5.573449611663818,3.791139125823975,8.334171295166017,2.294184446334839,6.725663661956787,3.8227143287658687,6.691177845001223
22,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,5.304254055023193,DB-9175,5.628366470336914,12.64055633544922,3.878564596176148,0.3120110034942627,5.872356414794923,12.152606964111328,5.50634765625,2.14137864112854,8.559103965759277,1.771700382232666,8.013493537902832,6.581141471862793,10.293907165527344,5.8594112396240225,4.26097583770752,3.3233375549316406,5.395699977874756,12.589344024658205,-0.0,5.618033409118652,2.440480232238769,9.97459602355957
23,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,7.194365978240968,DB-4059,7.249531745910644,11.9966459274292,7.468138694763184,6.042778015136719,7.33690881729126,11.942774772644045,7.216270446777344,6.929069519042969,7.566793441772461,6.42516565322876,6.940845489501952,11.450483322143555,11.982377052307127,7.516000747680664,4.795890808105469,7.6081695556640625,7.254744052886963,11.859238624572756,4.0489139556884775,7.486149787902832,6.103142738342285,6.829203605651856
24,Cc1cc(C)c(S(=O)(=O)N2CCCCC2)c(C)c1Br,5.025155067443848,Z65514132,7.000858306884768,8.865435600280762,5.322066307067871,3.225383043289185,6.953214168548584,8.617059707641603,5.104439735412598,5.502213954925537,5.160680294036865,4.238741397857666,5.6509642601013175,8.296120643615723,8.801728248596191,6.961751461029053,5.1307406425476065,5.440059185028076,5.012135028839111,8.671894073486326,-0.0,6.613017559051514,3.1288118362426762,5.6473450660705575
25,Cn1ncc(NC2CC=CC2)c(Br)c1=O,6.1080474853515625,Z1416572448,7.096535682678223,10.789432525634766,7.367008686065674,4.883935928344727,7.089760780334473,10.19100570678711,6.128582954406737,7.235382080078125,6.941365718841553,5.947001457214356,7.223679542541504,8.746231079101562,10.915871620178224,7.6561994552612305,5.437388896942139,7.640993118286133,6.1087799072265625,10.79383659362793,4.608203887939453,7.47484827041626,4.5722389221191415,7.161044597625732
26,Cn1ncc(NCCOCC2CC2)c(Br)c1=O,6.992388248443604,Z1189022171,7.303295135498048,9.212121963500977,7.5101661682128915,4.6685872077941895,7.270066261291504,8.646099090576174,6.81016731262207,7.202348709106445,7.050589561462402,6.5842132568359375,7.627486228942871,8.273710250854492,8.819314002990723,7.494462966918945,5.745057106018066,7.802018165588379,6.65280818939209,9.183659553527832,4.486684322357178,7.681409358978271,4.5674238204956055,7.64911413192749
27,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,4.790764808654785,DB-2850,5.782717704772949,7.87071418762207,5.164438724517822,4.5487236976623535,5.56369686126709,7.928269386291504,4.78108549118042,5.643174171447754,5.621673583984375,4.563690185546875,5.630373001098633,7.553285598754883,7.827088356018066,5.478649139404297,4.578680515289307,5.167353630065918,4.823347091674805,7.767917156219482,3.699510097503662,5.920191287994385,4.4468955993652335,5.7380332946777335
28,Brc1c(OCCCNCCN2CCOCC2)ccc2ccccc12,5.4936604499816895,Z237482108,8.141846656799316,8.252298355102539,5.191150188446045,3.503259897232056,7.152768135070801,9.30606174468994,5.335139751434326,5.439436435699463,3.925749778747559,5.07647180557251,5.99582052230835,8.336594581604004,8.216123580932617,7.226353645324707,5.549908638000488,4.861494541168213,5.398273468017578,8.178195953369139,2.3438434600830083,7.391095161437987,2.937694549560547,6.001192092895508
29,FC(F)(F)c1ccc(Oc2ccc3ccccc3c2Br)nc1,5.031569957733153,Z54632077,8.408446311950684,9.333569526672363,6.2443809509277335,3.5676860809326167,7.3093647956848145,9.499045372009276,4.890613555908203,6.346739292144775,5.04629373550415,6.553121089935303,6.87849235534668,8.96667194366455,8.60239315032959,7.257387161254883,5.094865322113037,6.890308380126952,5.29803466796875,9.334484100341797,0.17820507287979126,7.186179161071777,3.5321033000946045,7.097174644470215
