smiles,6vww_pocket108,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
CC(NC(=O)CN1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Cl,4.82804012298584,6.8941545486450195,6.487765312194824,4.481553077697754,1.7556560039520264,7.4450364112854,7.66948652267456,4.494802474975586,2.3914687633514404,2.2483530044555664,3.935075283050537,2.994424343109132,8.399420738220215,8.50055980682373,7.197919845581055,3.52034592628479,5.022689342498778,4.757243633270264,7.54119873046875,-0.0,8.057317733764647,1.6533890962600708,2.6232407093048096
CCc1ccccc1OCC(=O)Nc1ccc(-c2nnc3n2CCCCC3)cc1,5.529132843017578,6.866996765136719,8.902288436889648,5.863300323486327,2.0188922882080083,7.220618724822997,8.551697731018066,4.877871513366699,-0.0,-0.0,5.141942977905273,-0.0,8.23259449005127,7.991480827331543,6.901825904846191,5.356853008270264,5.4838128089904785,4.850110054016113,8.834161758422852,-0.0,7.102712631225586,1.6386507749557495,0.1812140941619873
O=C(c1cccc(OCc2ccccc2)c1)N(Cc1ccco1)C1CC1,5.71699333190918,7.692535877227782,7.396903038024902,7.527782917022705,3.2750759124755864,7.377176284790039,8.091432571411133,5.6650447845458975,5.611125469207764,4.420624256134033,5.441728591918945,8.056594848632812,7.626351833343506,7.5328688621521,8.196749687194824,4.79559326171875,7.4719600677490225,5.752323150634768,7.630364418029785,-0.0,7.751660346984862,3.163325309753418,8.027933120727539
CCOC(=O)c1sc2ncn(CC(=O)NC(C)c3ccccc3)c(=O)c2c1C,5.056285858154297,6.128777503967285,8.766463279724121,8.441523551940918,2.968004941940308,7.691581726074219,8.258077621459961,5.2407331466674805,5.761763572692871,4.0999064445495605,5.5693464279174805,5.923292636871338,8.835562705993652,8.399214744567871,7.287616729736327,4.660372734069824,8.57266902923584,4.856216430664063,8.710720062255861,-0.0,7.634774208068848,3.2871210575103764,6.2456254959106445
CC(C)Oc1ccccc1C=C(CC(=O)O)c1nc2ccccc2s1,6.320379734039308,8.053120613098145,9.25587558746338,6.506471157073975,2.826655387878418,8.124443054199219,9.261539459228516,5.785367012023926,5.562856674194336,4.008206844329834,6.24316930770874,6.364284038543701,8.335958480834961,8.96418571472168,8.144225120544434,6.2192230224609375,6.66185998916626,6.2105889320373535,9.192789077758787,-0.0,9.063358306884766,4.323705196380615,6.8370819091796875
Cc1cc(C(=O)NC2CC2)c(C)s1,5.174927234649658,7.025583744049072,7.2968430519104,5.613622665405273,4.997003555297852,6.765976905822754,7.362884044647218,5.1337714195251465,5.825888156890869,5.331171035766602,5.531949043273926,5.8358259201049805,7.298521518707275,7.403796195983888,7.310491561889647,5.3306846618652335,5.683560371398926,4.862370491027832,7.3545002937316895,5.0749168395996085,7.175615310668945,4.595217704772949,6.217284202575684
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1CCN(Cc2ccncc2)CC1,6.122157573699951,7.803174018859862,8.094083786010742,7.478335380554199,2.5640273094177246,8.370998382568361,7.890148639678955,6.314615726470947,5.667972087860107,5.549307346343994,6.700444221496582,6.348167896270753,8.113852500915527,8.384371757507324,8.257643699645996,5.562145709991455,7.819885730743407,6.165682315826416,8.624797821044924,-0.0,8.218593597412111,3.061967372894287,6.674841403961183
COc1ccc(CCNC(=O)Nc2cc(Cl)ccc2N2CCOCC2)cc1OC,4.3440375328063965,6.720952033996582,6.594349384307861,4.607400894165039,3.661614418029785,5.323434829711914,7.0772786140441895,4.248107433319092,3.4729278087615967,2.702932357788086,4.3671159744262695,4.509677886962892,6.78986406326294,6.771517276763916,8.491612434387207,4.801356315612793,4.750396251678467,4.287313461303712,6.674607753753662,-0.0,8.331371307373049,3.8467388153076167,4.305227279663087
CC1CC(=O)NCCN1C(=O)c1ccc(=O)n(Cc2ccccc2)n1,5.745543479919434,7.539785385131836,9.21456241607666,7.755756378173827,2.6235568523406982,7.534199714660644,9.535948753356934,5.685826778411865,6.894242763519287,6.925154685974121,6.23896598815918,7.619268417358397,8.397296905517576,9.335565567016602,7.8382720947265625,5.731095314025879,7.631053924560548,5.766293525695801,9.506205558776855,-0.0,8.289508819580076,3.110619068145752,7.9980525970458975
CCCCn1c(N)c(N(C)C(=O)Cn2c(CC)nc3ccccc32)c(=O)[nH]c1=O,4.9402971267700195,7.197282791137695,9.483349800109863,5.723109245300293,2.721322536468506,6.664567947387695,9.584980964660645,4.850458145141602,5.427432060241699,4.589925765991211,4.643410682678223,5.907834053039551,7.9409685134887695,9.430898666381836,8.770893096923826,3.846024990081787,5.36644172668457,4.599952697753906,9.745684623718262,-0.0,8.611761093139647,2.744701623916626,5.447964668273926
Cc1noc([C@H]2C[C@@H](O)CN2Cc2nc(C)c(C)s2)n1,6.134647846221924,7.950946807861327,9.204994201660156,7.840931415557861,3.7251367568969727,7.698687553405763,9.531919479370117,5.927070140838622,6.0370521545410165,7.060524940490723,7.9319095611572275,6.540769577026367,7.6208577156066895,8.814326286315918,7.778500556945801,5.529470443725586,7.967755317687987,5.952648639678955,9.190825462341307,2.2478153705596924,7.762012481689452,3.84919810295105,6.818490028381348
CCC(C)n1c(SC(C)C(N)=O)nc2ccccc2c1=O,4.8923468589782715,8.368425369262695,9.267791748046877,7.747662544250487,4.3410611152648935,7.522217750549316,9.119647026062012,4.940596580505371,7.733940124511719,6.443155765533447,6.674132347106934,8.255094528198242,8.246474266052246,8.898279190063477,7.281486511230469,4.868755340576172,7.657265663146973,4.9154438972473145,9.250088691711426,1.4132032394409182,7.3855438232421875,4.315430641174316,8.006930351257324
CC1CN(C(=O)c2cn(-c3ccccc3Cl)nn2)CC(C)O1,5.09345817565918,7.28111457824707,7.977019786834718,6.801399230957031,2.8423385620117188,6.881865978240968,8.602716445922853,4.950765132904053,5.33009672164917,4.846340179443359,6.335796356201173,5.612585067749023,8.193058013916017,8.192238807678223,6.6671953201293945,5.0313825607299805,6.74469518661499,5.175063133239746,8.552300453186035,1.9656853675842283,6.749479293823242,3.983957767486572,5.685908317565918
CC1CN(C(=O)CCc2nc3ccccc3c(=O)[nH]2)CC(C)O1,7.6175127029418945,8.895698547363281,9.340085983276367,8.446044921875,6.073287487030027,8.521896362304688,10.450653076171877,7.514577865600586,6.809436321258545,7.786953449249268,6.970358371734619,7.274067878723144,11.037108421325684,9.526081085205078,8.519571304321289,6.882570266723633,8.409915924072267,7.487738132476807,10.171627044677734,4.514725208282472,8.943550109863281,3.2752909660339355,7.262716770172119
O=S(=O)(c1ccc(OCCOc2ccc(Cl)c(Cl)c2)cc1)N1CCOCC1,6.047708988189697,5.985801696777344,6.1059160232543945,5.012607574462892,1.9618747234344482,7.329276561737058,7.134428024291992,5.699671268463135,0.8976825475692749,-0.0,4.0279645919799805,0.8814077377319336,7.75157880783081,7.1316986083984375,7.513906955718994,3.1637446880340576,4.852570056915283,6.025119304656982,7.081480979919434,-0.0,7.243921756744385,0.7557021379470825,0.9710486531257628
COCCCNC(=O)CN1CCC(c2ccccc2)C1,7.334790229797362,8.181944847106934,8.681446075439451,6.787409782409668,4.732394218444824,8.072461128234862,9.46746063232422,7.211759567260742,5.550658702850342,5.06229829788208,6.438851833343506,6.407821178436277,9.550862312316896,8.51628589630127,8.268624305725098,6.594184875488281,6.5740203857421875,7.054967403411865,8.925930976867676,3.8283636569976807,8.169559478759767,3.5746076107025133,6.2720866203308105
OC1(C(F)(F)F)CCN(Cc2cc(-c3ccccc3)on2)C1,5.292534828186035,8.451131820678711,8.43943977355957,7.285435676574707,4.1622605323791495,7.910076141357423,8.724056243896483,5.301746368408203,5.315155506134033,4.332715988159181,6.9767494201660165,5.522982120513916,8.283827781677246,8.174726486206055,7.946915626525879,4.984123229980469,7.20454216003418,5.345296382904053,8.640308380126951,1.5622460842132568,8.058406829833983,3.919899463653565,5.36899471282959
CC1CC(C)CN(CC(=O)Nc2ccc(F)cc2F)C1,5.74021577835083,8.046330451965332,8.597062110900879,6.837979316711426,3.220716953277588,7.094178199768066,9.571636199951172,5.638996601104736,6.792181491851808,4.557526588439941,6.545577526092527,6.679383754730225,9.020060539245604,9.669181823730467,7.673998832702638,5.256005764007568,6.8240718841552725,5.5648322105407715,9.639484405517578,3.016541719436645,7.609364986419678,3.7119753360748287,6.595369338989258
